model_name,status,error,cv_f1_macro,cv_f1_macro_std,val_accuracy,val_f1_macro,val_f1_weighted,val_roc_auc_ovr,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_f1_weighted,test_roc_auc_ovr,test_average_precision_macro
adaboost,ok,,0.4555530494457448,0.02730133936531713,0.4866666666666667,0.443644744246944,0.4711250888496696,0.634292331675401,0.48172757475083056,0.464953937185725,0.44985239021936274,0.4516570032383796,0.4725620332955188,0.6097777187416785,0.43500792067478405
extra_trees,ok,,0.46349969874646424,0.013327144797980141,0.4633333333333333,0.44534784125087357,0.4583470937770653,0.6354835297421199,0.46511627906976744,0.4443362544628367,0.4377214698315616,0.4357961327285748,0.4531829130082029,0.6227144043070729,0.4541663563243097
gradient_boosting,ok,,0.47230522430664673,0.022072452766726775,0.44333333333333336,0.4160666431777176,0.4349439441177098,0.6314834495959055,0.46179401993355484,0.44808286951144094,0.43074916928127943,0.43348158690624444,0.4538479042461202,0.5968152398717114,0.42463286755955926
gaussian_nb,ok,,0.44878922778901637,0.016565518592219934,0.43666666666666665,0.42468217126898544,0.43266563597629937,0.6290699406313442,0.4418604651162791,0.44144085489450546,0.4496427799180092,0.43121209230433166,0.43945579884836455,0.5960686626945934,0.4217064062437104
random_forest,ok,,0.459826560753672,0.01404638739143511,0.4766666666666667,0.45277804785826176,0.4681672338356831,0.6371389666824485,0.45514950166112955,0.4358634111818825,0.4253875584150814,0.4248449559072492,0.44374760812849096,0.6131250108099696,0.44996342094024916
logistic_regression,ok,,0.47774009346474433,0.02586515591094231,0.48333333333333334,0.46954498162615543,0.48436270447804136,0.6536036933630099,0.43853820598006643,0.42365390600684716,0.42782786360768016,0.422692230556053,0.44004018243071197,0.6190907358379856,0.44960478274670673
linear_svc,ok,,0.4731281824673036,0.011741283897331695,0.49,0.44489188036579314,0.46916461732373677,0.6606521745812289,0.46511627906976744,0.4409188034188034,0.42246625274148214,0.41495911495911497,0.44063894761569183,0.618511960584773,0.45478080831974266
xgboost,ok,,0.4693991333601228,0.020653323729901776,0.47333333333333333,0.44264167205343674,0.4679756517991812,0.6437208384093452,0.4318936877076412,0.4141073859158966,0.4028842377466231,0.40458806080497595,0.42498238989201953,0.5993655592539652,0.43436262918263857
svc_rbf,ok,,0.4527795622403362,0.026143103973812996,0.44666666666666666,0.42864125025120875,0.44710936908181725,0.6367377518904558,0.4219269102990033,0.4063504756386112,0.40223334260031507,0.4037908542819871,0.4213072222326992,0.6041939379191895,0.4295869758497582
lightgbm,ok,,0.4519067585592856,0.025229821445995008,0.47333333333333333,0.44145791848514015,0.4679939065420846,0.6193982854024155,0.40863787375415284,0.3964841433905421,0.38759592429317197,0.39078997769906865,0.4085986394557823,0.5952393549537557,0.42390786135472264
mlp,ok,,0.4653353287166655,0.0327746056288997,0.4766666666666667,0.428763549324297,0.45130410407980504,0.6571651244275364,0.43853820598006643,0.42216374269005846,0.3972468238523284,0.38876568789320903,0.4117862975014275,0.6132392580940795,0.4397651187972407
decision_tree,ok,,0.4279871812140172,0.017502638476500708,0.47333333333333333,0.4631565564135796,0.4709163068547909,0.614868546629985,0.3687707641196013,0.35715511114378845,0.35764150901765585,0.34998220316048334,0.3638452721926945,0.516619336767086,0.3480760271565733
knn,ok,,0.4007061426361823,0.03495010677812298,0.4266666666666667,0.38295743685189737,0.40948990897252213,0.5675819983025073,0.38870431893687707,0.3767314435805728,0.3420376769000622,0.3325184157147432,0.3662479823314123,0.5816949537545554,0.39969362862185687
dummy,ok,,0.19609748818306677,0.0004863931194224025,0.4166666666666667,0.19607843137254902,0.2450980392156863,0.5,0.4186046511627907,0.13953488372093023,0.3333333333333333,0.19672131147540983,0.2470453678993519,0.5,0.3333333333333333
