model_name,status,cv_f1_macro,cv_f1_macro_std,val_f1_macro,val_accuracy,test_accuracy,test_f1_macro,test_f1_weighted,test_roc_auc_ovr,test_average_precision_macro
adaboost,ok,0.4534306841621865,0.06920146872357703,0.5998843880286179,0.62,0.5514950166112956,0.5425104705592511,0.541506631013154,0.6798328093698903,0.5079640063040592
mlp,ok,0.4668636857259318,0.06841814561995348,0.5890522875816994,0.6033333333333334,0.5116279069767442,0.49781265798275015,0.4968863047226923,0.7148134560981069,0.5590790918374123
gradient_boosting,ok,0.4632151782308807,0.06256788413951311,0.5669760595895911,0.5766666666666667,0.5016611295681063,0.4979296765343036,0.49683167771156517,0.6888365408519398,0.5232910609968745
knn,ok,0.4542075256077068,0.07188476653271444,0.5645690743005009,0.58,0.5182724252491694,0.5122525472308933,0.5112613876797831,0.681564769869106,0.5113492535503158
random_forest,ok,0.4565860669044423,0.07105936895850888,0.5623117349879633,0.5666666666666667,0.5548172757475083,0.5520574370984207,0.5511625413237525,0.728481737954587,0.5651013310730231
extra_trees,ok,0.44816789690351017,0.06710684961219154,0.5564351660465757,0.5666666666666667,0.5382059800664452,0.5363055670395843,0.5363265997037141,0.7147435170651941,0.5428417932937728
logistic_regression,ok,0.47346419164975045,0.05958247406841867,0.5548860072887533,0.5666666666666667,0.5282392026578073,0.5190331157843848,0.5189589451646555,0.7111699625280198,0.5529910622891065
xgboost,ok,0.4690915612781983,0.0721353755171842,0.5520153837790823,0.5566666666666666,0.53156146179402,0.5299134621486135,0.528249776428973,0.7108591947329365,0.5447351059296707
lightgbm,ok,0.45687636326295844,0.06053088137714859,0.5394668737060041,0.5466666666666666,0.5415282392026578,0.540841071354876,0.5405057714843469,0.7110385359325386,0.5359143827376812
gaussian_nb,ok,0.4660249483863051,0.12101990234192953,0.4534122113170341,0.5333333333333333,0.45514950166112955,0.40270579155163705,0.40370961934407495,0.6551557270035653,0.48500189211820827
decision_tree,ok,0.42967182865152553,0.048716660032341555,0.4491946491946492,0.44666666666666666,0.45514950166112955,0.4560872868512303,0.4563371723303399,0.6150154932266721,0.4308234404332074
dummy,ok,0.1665769180289074,0.0002526290135364192,0.17886178861788618,0.36666666666666664,0.30564784053156147,0.15606446140797287,0.14310229683920433,0.5,0.3333333333333333
