paper_id,title_short,publication_year,cited_by_count,oa_category
158,Multiscale structural similarity for image quality assessment,2025,879,partially_open
176,Marketing: An Introduction,2025,848,partially_open
235,Accurate predictions on small data with a tabular foundation model,2025,734,partially_open
240,DeepSeek-R1 incentivizes reasoning in LLMs through reinforcement learn,2025,726,partially_open
300,Generative AI at Work,2025,637,partially_open
309,Revised Surgical CAse REport (SCARE) Guideline: An Update for the Age ,2025,629,partially_open
356,Abstract Functional Language Logic: A Competitive Mixture of Experts A,2025,587,partially_open
485,Agentic AI: Autonomous Intelligence for Complex Goals—A Comprehensive ,2025,499,fully_open
499,"PROBAST+AI: an updated quality, risk of bias, and applicability assess",2025,495,partially_open
623,VM-UNet: Vision Mamba UNet for Medical Image Segmentation,2025,433,closed
