paper_id,title_short,publication_year,cited_by_count,oa_category,oa_status
1,Exploiting Generative AI to Scale up Intelligent Tutoring Systems,2023,77282,partially_open,green
2,Learning Multiple Layers of Features from Tiny Images,2024,25502,partially_open,green
3,A Multi-Modal Distributed Real-Time IoT System for Urban Traffic Contr,2024,14351,partially_open,green
4,"Aion Framework: Dimensional Emergence of AI Consciousness, Observer-In",2023,14276,partially_open,green
5,Targeted Branching for the Maximum Independent Set Problem Using Graph,2024,5408,partially_open,green
6,Evolutionary-scale prediction of atomic-level protein structure with a,2023,5177,partially_open,hybrid
7,Kaldi Speech Recognition Toolkit,2024,4899,partially_open,green
8,3D Gaussian Splatting for Real-Time Radiance Field Rendering,2023,4734,partially_open,green
9,Software update: The <scp>ORCA</scp> program system—Version 5.0,2022,4710,partially_open,hybrid
10,Reading digits in natural images with unsupervised feature learning,2024,4565,partially_open,green
