model,split,acc,prec,rec,f1,roc,model_type,cv_f1,best_params
svm_tuned,test,0.5748,NA,NA,0.5701,NA,tuned,0.6065,"cost=10,gamma=0.0010"
lda,test,0.5748,0.57,0.5694,0.5696,0.7577,baseline,NA,default
mlp,test,0.5681,0.565,0.5675,0.5657,0.7659,baseline,NA,default
logistic_regression,test,0.5648,0.5602,0.5668,0.5631,0.7565,baseline,NA,default
svm_rbf,test,0.5681,0.5597,0.559,0.5559,0.7574,baseline,NA,default
elastic_net,test,0.5581,0.5559,0.5522,0.5539,0.7584,baseline,NA,default
random_forest_tuned,test,0.5615,NA,NA,0.5475,NA,tuned,0.6181,"ntree=500,mtry=8"
svm_linear,test,0.5515,0.5445,0.5438,0.5441,0.7587,baseline,NA,default
gradient_boosting,test,0.5382,0.5415,0.5359,0.5384,0.7402,baseline,NA,default
random_forest,test,0.5482,0.5448,0.5296,0.5317,0.7572,baseline,NA,default
adaboost,test,0.515,0.5126,0.5121,0.5123,0.6963,baseline,NA,default
decision_tree,test,0.5083,0.5295,0.4962,0.5017,0.6924,baseline,NA,default
naive_bayes,test,0.4186,0.4742,0.4909,0.4081,0.684,baseline,NA,default
xgboost_tuned,test,0.3555,NA,NA,0.3537,NA,tuned,NA,"depth=6,eta=0.10,rounds=300"
xgboost,test,0.3455,0.3464,0.353,0.3428,0.5243,baseline,NA,default
random_forest_tuned,val,0.6288,NA,NA,0.6203,NA,tuned,0.6181,"ntree=500,mtry=8"
random_forest,val,0.6154,0.6261,0.6067,0.6133,0.804,baseline,NA,default
adaboost,val,0.6087,0.6148,0.6031,0.608,0.8025,baseline,NA,default
elastic_net,val,0.5953,0.6021,0.5955,0.5984,0.7919,baseline,NA,default
svm_tuned,val,0.5886,NA,NA,0.5896,NA,tuned,0.6065,"cost=10,gamma=0.0010"
decision_tree,val,0.592,0.6212,0.5683,0.5772,0.7632,baseline,NA,default
svm_linear,val,0.5786,0.573,0.5761,0.5744,0.7772,baseline,NA,default
lda,val,0.5686,0.5713,0.5729,0.5721,0.7834,baseline,NA,default
gradient_boosting,val,0.5719,0.5757,0.5684,0.5716,0.7885,baseline,NA,default
svm_rbf,val,0.5753,0.5692,0.559,0.5608,0.7571,baseline,NA,default
logistic_regression,val,0.5619,0.5582,0.5639,0.5604,0.7744,baseline,NA,default
mlp,val,0.5552,0.5474,0.5577,0.5515,0.7615,baseline,NA,default
naive_bayes,val,0.4281,0.4932,0.5058,0.4168,0.7209,baseline,NA,default
xgboost,val,0.3478,0.3419,0.3363,0.3356,0.4859,baseline,NA,default
xgboost_tuned,val,0.3445,NA,NA,0.3333,NA,tuned,NA,"depth=6,eta=0.10,rounds=300"
