feature,group
title_length,structural
abstract_length,structural
keyword_count,structural
concept_count,structural
paper_age,structural
title_word_count,structural
abstract_word_count,structural
title_to_abstract_ratio,structural
text_richness,structural
recency_score,structural
abstract_keyword_overlap,structural
recent_paper,structural
dom_medical,domain
dom_biology,domain
dom_health,domain
dom_cv_medical,domain
dom_vision,domain
dom_vision2,domain
dom_nlp,domain
dom_llm,domain
dom_generative,domain
dom_education,domain
dom_robotics,domain
dom_math,domain
dom_quantum,domain
dom_survey,domain
dom_review_any,domain
dom_graph,domain
dom_rl,domain
dom_speech,domain
dom_security,domain
dom_xai,domain
dom_science,domain
dom_dataset,domain
cn_medicine,domain
cn_ai_core,domain
cn_vision,domain
pub_plos,publisher
pub_mdpi,publisher
pub_frontiers,publisher
pub_bmc,publisher
pub_hindawi,publisher
pub_ieee,publisher
pub_acm,publisher
pub_elsevier,publisher
pub_springer,publisher
pub_wiley,publisher
pub_nature,publisher
pub_science,publisher
pub_oup,publisher
pub_arxiv,publisher
pub_zenodo,publisher
pub_dagstuhl,publisher
pub_acl,publisher
pub_no_doi,publisher
tf_learning,tfidf
tf_data,tfidf
tf_models,tfidf
tf_chatgpt,tfidf
tf_deep,tfidf
tf_model,tfidf
tf_detection,tfidf
tf_image,tfidf
tf_research,tfidf
tf_machine,tfidf
tf_intelligence,tfidf
tf_artificial,tfidf
tf_generative,tfidf
tf_methods,tfidf
tf_review,tfidf
tf_based,tfidf
tf_medical,tfidf
tf_language,tfidf
tf_applications,tfidf
tf_analysis,tfidf
tf_systems,tfidf
tf_education,tfidf
tf_neural,tfidf
tf_human,tfidf
tf_performance,tfidf
tf_network,tfidf
tf_challenges,tfidf
tf_study,tfidf
tf_control,tfidf
tf_technologies,tfidf
tf_algorithms,tfidf
tf_time,tfidf
tf_survey,tfidf
tf_networks,tfidf
tf_segmentation,tfidf
tf_techniques,tfidf
tf_paper,tfidf
tf_future,tfidf
tf_images,tfidf
tf_information,tfidf
tf_proposed,tfidf
tf_potential,tfidf
tf_classification,tfidf
tf_design,tfidf
tf_attention,tfidf
tf_clinical,tfidf
tf_development,tfidf
tf_features,tfidf
tf_prediction,tfidf
tf_recent,tfidf
tf_method,tfidf
tf_tasks,tfidf
tf_accuracy,tfidf
tf_results,tfidf
tf_healthcare,tfidf
tf_knowledge,tfidf
tf_field,tfidf
tf_provide,tfidf
tf_technology,tfidf
tf_article,tfidf
tf_system,tfidf
tf_multi,tfidf
tf_training,tfidf
tf_approaches,tfidf
tf_energy,tfidf
tf_students,tfidf
tf_materials,tfidf
tf_transformer,tfidf
tf_feature,tfidf
tf_including,tfidf
tf_quality,tfidf
tf_datasets,tfidf
tf_digital,tfidf
tf_disease,tfidf
tf_framework,tfidf
tf_algorithm,tfidf
tf_processing,tfidf
tf_studies,tfidf
tf_vision,tfidf
tf_text,tfidf
tf_dataset,tfidf
tf_approach,tfidf
tf_computing,tfidf
tf_comprehensive,tfidf
tf_tools,tfidf
tf_protein,tfidf
tf_graph,tfidf
tf_scale,tfidf
tf_current,tfidf
tf_health,tfidf
tf_literature,tfidf
tf_optimization,tfidf
tf_spatial,tfidf
tf_sensing,tfidf
tf_cancer,tfidf
tf_process,tfidf
tf_imaging,tfidf
tf_brain,tfidf
tf_existing,tfidf
tf_impact,tfidf
tf_level,tfidf
tf_real,tfidf
tf_application,tfidf
tf_researchers,tfidf
tf_management,tfidf
tf_structure,tfidf
tf_recognition,tfidf
tf_overview,tfidf
tf_finally,tfidf
tf_drug,tfidf
tf_improve,tfidf
tf_single,tfidf
tf_significant,tfidf
tf_robots,tfidf
tf_industry,tfidf
tf_fusion,tfidf
tf_strategies,tfidf
tf_trained,tfidf
tf_directions,tfidf
tf_diagnosis,tfidf
tf_perspective,tfidf
tf_power,tfidf
tf_task,tfidf
tf_advances,tfidf
tf_domain,tfidf
tf_decision,tfidf
tf_resolution,tfidf
tf_global,tfidf
tf_discuss,tfidf
tf_understanding,tfidf
tf_natural,tfidf
tf_object,tfidf
tf_computer,tfidf
tf_opportunities,tfidf
tf_soft,tfidf
tf_modeling,tfidf
tf_efficient,tfidf
tf_related,tfidf
tf_complex,tfidf
tf_metaverse,tfidf
tf_developed,tfidf
tf_generation,tfidf
tf_propose,tfidf
tf_evaluation,tfidf
tf_social,tfidf
tf_stability,tfidf
tf_abstract,tfidf
tf_multiple,tfidf
tf_cell,tfidf
tf_efficiency,tfidf
