model,split,accuracy,f1_macro,roc_auc
logistic_regression,val,0.34,0.1692,0.4983
logistic_regression,test,0.3433,0.1704,0.5021
decision_tree,val,0.5267,0.5075,0.6873
decision_tree,test,0.5433,0.5096,0.7023
random_forest,val,0.53,0.5208,0.6807
random_forest,test,0.5333,0.5187,0.7054
gradient_boosting,val,0.5167,0.5095,0.681
gradient_boosting,test,0.5367,0.5269,0.7015
xgboost,val,0.3367,0.3354,0.507
xgboost,test,0.3433,0.343,0.4712
adaboost,val,0.5333,0.5198,0.6815
adaboost,test,0.57,0.5473,0.7291
svm_rbf,val,0.5333,0.5202,0.6822
svm_rbf,test,0.56,0.5336,0.7142
lda,val,0.4967,0.47,0.668
lda,test,0.55,0.5246,0.7004
naive_bayes,val,0.54,0.5164,0.6737
naive_bayes,test,0.59,0.5688,0.7434
mlp,val,0.4567,0.4569,0.6325
mlp,test,0.3767,0.3785,0.5756
