model,split,accuracy,f1_macro,roc_auc
logistic_regression,val,0.5267,0.5261,0.6934
logistic_regression,test,0.4433,0.4471,0.6349
decision_tree,val,0.52,0.5098,0.6643
decision_tree,test,0.4967,0.49370000000000003,0.668
random_forest,val,0.5267,0.5212,0.7187
random_forest,test,0.5233,0.5134,0.6943
gradient_boosting,val,0.52,0.5206,0.7088
gradient_boosting,test,0.49,0.4896,0.6703
xgboost,val,0.3467,0.3467,0.5278
xgboost,test,0.3567,0.3565,0.5209
adaboost,val,0.5767,0.5632,0.7164
adaboost,test,0.52,0.4973,0.7002
svm_rbf,val,0.53,0.5302,0.6942
svm_rbf,test,0.4533,0.4535,0.6665
naive_bayes,val,0.4967,0.4826,0.6554
naive_bayes,test,0.3967,0.3748,0.5743
mlp,val,0.5033,0.502,0.6698
mlp,test,0.4533,0.456,0.6378
