model,split,n,accuracy,precision,recall,f1_macro,roc_auc
logistic_regression,val,299,0.4415,0.4506,0.3795,0.3535,0.5927
logistic_regression,test,301,0.4452,0.3875,0.3764,0.3345,0.5708
elastic_net,val,299,0.4548,0.6394,0.3743,0.3049,0.5592
elastic_net,test,301,0.4452,0.2937,0.3648,0.284,0.5582
decision_tree,val,299,0.4214,0.3673,0.374,0.3653,0.5585
decision_tree,test,301,0.3787,0.3257,0.3323,0.3194,0.5273
random_forest,val,299,0.398,0.3456,0.35,0.3385,0.5659
random_forest,test,301,0.3588,0.3188,0.3186,0.3098,0.5115
gradient_boosting,val,299,0.398,0.3711,0.3603,0.3573,0.5723
gradient_boosting,test,301,0.3721,0.3261,0.3293,0.3197,0.5275
xgboost,val,299,0.3177,0.3176,0.3192,0.3128,0.4615
xgboost,test,301,0.3189,0.3199,0.3194,0.3143,0.4948
adaboost,val,299,0.4415,0.4563,0.36870000000000003,0.3194,0.604
adaboost,test,301,0.4352,0.2847,0.3607,0.3005,0.5293
svm_rbf,val,299,0.4381,0.2876,0.3573,0.2819,0.593
svm_rbf,test,301,0.4252,0.4358,0.3495,0.2712,0.5375
svm_linear,val,299,0.4448,0.2918,0.361,0.2722,0.5899
svm_linear,test,301,0.4219,0.2945,0.3441,0.2574,0.5507
naive_bayes,val,299,0.4247,0.3686,0.3485,0.271,0.5851
naive_bayes,test,301,0.392,0.259,0.319,0.2342,0.5396
lda,val,299,0.4448,0.4307,0.3778,0.3426,0.6004
lda,test,301,0.4419,0.3565,0.3718,0.3257,0.5714
mlp,val,299,0.3679,0.3556,0.3547,0.3541,0.4993
mlp,test,301,0.3322,0.3149,0.315,0.3147,0.5131
