model,split,n,accuracy,precision,recall,f1_macro,roc_auc
logistic_regression,val,299,0.5619,0.5582,0.5639,0.5604,0.7744
logistic_regression,test,301,0.5648,0.5602,0.5668,0.5631,0.7565
elastic_net,val,299,0.5953,0.6021,0.5955,0.5984,0.7919
elastic_net,test,301,0.5581,0.5559,0.5522,0.5539,0.7584
decision_tree,val,299,0.592,0.6212,0.5683,0.5772,0.7632
decision_tree,test,301,0.5083,0.5295,0.4962,0.5017,0.6924
random_forest,val,299,0.6154,0.6261,0.6067,0.6133,0.804
random_forest,test,301,0.5482,0.5448,0.5296,0.5317,0.7572
xgboost,val,299,0.3478,0.3419,0.3363,0.3356,0.4859
xgboost,test,301,0.3455,0.3464,0.353,0.3428,0.5243
gradient_boosting,val,299,0.5719,0.5757,0.5684,0.5716,0.7885
gradient_boosting,test,301,0.5382,0.5415,0.5359,0.5384,0.7402
adaboost,val,299,0.6087,0.6148,0.6031,0.608,0.8025
adaboost,test,301,0.515,0.5126,0.5121,0.5123,0.6963
svm_rbf,val,299,0.5753,0.5692,0.559,0.5608,0.7571
svm_rbf,test,301,0.5681,0.5597,0.559,0.5559,0.7574
svm_linear,val,299,0.5786,0.573,0.5761,0.5744,0.7772
svm_linear,test,301,0.5515,0.5445,0.5438,0.5441,0.7587
naive_bayes,val,299,0.4281,0.4932,0.5058,0.4168,0.7209
naive_bayes,test,301,0.4186,0.4742,0.4909,0.4081,0.684
lda,val,299,0.5686,0.5713,0.5729,0.5721,0.7834
lda,test,301,0.5748,0.57,0.5694,0.5696,0.7577
mlp,val,299,0.5552,0.5474,0.5577,0.5515,0.7615
mlp,test,301,0.5681,0.565,0.5675,0.5657,0.7659
