publication_year,paper_age,title_length,abstract_length,keyword_count,concept_count,has_doi,title_word_count,abstract_word_count,title_to_abstract_ratio,text_richness,recency_score,abstract_keyword_overlap,publication_year_norm,is_open_access_int,has_fulltext_int,oa_cat_fully_open,oa_cat_partially_open,oa_cat_closed,impact_tier
2023,3,65,769,16,22,1,9,120,0.0845,0.3167,0.3333,0,0.3333,1,1,0,1,0,high
2024,2,53,1047,14,16,1,8,178,0.0506,0.1685,0.6667,0,0.6667,1,1,0,1,0,high
2024,2,88,1031,10,14,1,12,159,0.0854,0.1509,0.6667,0,0.6667,1,1,0,1,0,high
2023,3,118,3084,9,13,1,13,401,0.0383,0.0549,0.3333,0,0.3333,1,1,0,1,0,high
2024,2,86,1414,10,17,1,12,203,0.0608,0.133,0.6667,1,0.6667,1,1,0,1,0,high
2023,3,85,878,15,18,1,10,117,0.0968,0.2821,0.3333,1,0.3333,1,0,0,1,0,high
2024,2,32,714,13,18,1,4,101,0.0448,0.3069,0.6667,1,0.6667,1,1,0,1,0,high
2023,3,60,1386,13,15,1,8,183,0.0433,0.153,0.3333,1,0.3333,1,1,0,1,0,high
2022,4,63,582,17,23,1,7,84,0.1082,0.4762,0,1,0,1,0,0,1,0,high
2024,2,67,1123,15,23,1,9,165,0.0597,0.2303,0.6667,1,0.6667,1,1,0,1,0,high
2024,2,103,1558,11,15,1,16,222,0.0661,0.1171,0.6667,1,0.6667,1,1,1,0,0,high
2023,3,188,1986,12,14,1,24,263,0.0947,0.0989,0.3333,0,0.3333,1,1,0,1,0,high
2022,4,54,1391,14,20,1,7,192,0.0388,0.1771,0,1,0,0,0,0,0,1,high
2022,4,71,1027,14,15,1,9,151,0.0691,0.1921,0,1,0,1,1,0,1,0,high
2022,4,103,1575,15,24,1,14,255,0.0654,0.1529,0,1,0,1,0,0,1,0,high
2023,3,104,550,9,9,1,14,82,0.1891,0.2195,0.3333,1,0.3333,1,1,1,0,0,high
2023,3,47,1843,15,20,1,6,252,0.0255,0.1389,0.3333,1,0.3333,1,1,0,1,0,high
2023,3,38,919,4,4,1,7,136,0.0413,0.0588,0.3333,0,0.3333,0,0,0,0,1,high
2023,3,84,2463,7,11,1,10,329,0.0341,0.0547,0.3333,1,0.3333,1,1,1,0,0,high
2022,4,84,357,7,23,1,13,57,0.2353,0.5263,0,1,0,1,1,0,1,0,high
2023,3,99,677,10,12,1,15,95,0.1462,0.2316,0.3333,1,0.3333,1,1,1,0,0,high
2023,3,21,909,8,9,1,2,137,0.0231,0.1241,0.3333,0,0.3333,1,0,1,0,0,high
2022,4,141,1937,11,13,1,17,279,0.0728,0.086,0,1,0,1,1,0,1,0,high
2024,2,126,1207,7,9,1,16,166,0.1044,0.0964,0.6667,1,0.6667,1,1,0,1,0,high
2022,4,98,1438,15,19,1,13,202,0.0682,0.1683,0,1,0,1,0,0,1,0,high
2022,4,49,1012,11,14,1,7,133,0.0484,0.188,0,1,0,1,1,1,0,0,high
2022,4,58,796,11,12,1,8,110,0.0729,0.2091,0,1,0,1,1,1,0,0,high
2023,3,49,1297,14,16,1,6,199,0.0378,0.1508,0.3333,1,0.3333,1,1,0,1,0,high
2024,2,107,1303,10,12,1,13,179,0.0821,0.1229,0.6667,1,0.6667,1,1,1,0,0,high
2023,3,173,2653,8,9,1,24,386,0.0652,0.044,0.3333,1,0.3333,1,1,1,0,0,high
2023,3,65,1668,12,14,1,10,224,0.039,0.1161,0.3333,1,0.3333,1,1,0,1,0,high
2022,4,76,1798,20,24,1,8,238,0.0423,0.1849,0,0,0,1,1,0,1,0,high
2023,3,91,1284,12,12,1,11,185,0.0709,0.1297,0.3333,0,0.3333,1,1,1,0,0,high
2023,3,49,421,6,8,1,6,60,0.1164,0.2333,0.3333,0,0.3333,1,1,0,1,0,high
2023,3,137,1667,21,28,1,15,230,0.0822,0.213,0.3333,1,0.3333,1,1,0,1,0,high
2022,4,68,972,16,16,1,8,130,0.07,0.2462,0,1,0,1,1,0,1,0,high
2023,3,97,1466,12,14,1,14,191,0.0662,0.1361,0.3333,1,0.3333,1,1,1,0,0,high
2024,2,63,1116,14,17,1,7,151,0.0565,0.2053,0.6667,0,0.6667,1,1,0,1,0,high
2023,3,78,1649,10,15,1,9,239,0.0473,0.1046,0.3333,1,0.3333,1,1,0,1,0,high
2024,2,94,712,15,18,1,13,102,0.132,0.3235,0.6667,1,0.6667,1,0,1,0,0,high
2022,4,80,1116,12,19,1,9,157,0.0717,0.1975,0,1,0,1,1,0,1,0,high
2022,4,93,1054,14,19,1,10,137,0.0882,0.2409,0,0,0,1,1,1,0,0,high
2023,3,83,1729,13,17,1,12,252,0.048,0.119,0.3333,1,0.3333,1,0,1,0,0,high
2022,4,43,580,15,17,1,4,81,0.0741,0.3951,0,1,0,1,1,0,1,0,high
2023,3,36,1607,8,13,1,6,226,0.0224,0.0929,0.3333,1,0.3333,0,0,0,0,1,high
2023,3,64,1421,7,12,1,7,195,0.045,0.0974,0.3333,1,0.3333,1,0,0,1,0,high
2023,3,147,1396,13,20,1,20,203,0.1053,0.1626,0.3333,1,0.3333,1,1,1,0,0,high
2023,3,94,1405,16,20,1,18,200,0.0669,0.18,0.3333,1,0.3333,1,1,1,0,0,high
2022,4,47,1305,7,7,1,5,183,0.036,0.0765,0,0,0,1,0,0,1,0,high
2023,3,118,2129,4,4,1,16,318,0.0554,0.0252,0.3333,1,0.3333,1,1,0,1,0,high
