title_word_count,text_richness,title_to_abstract_ratio,abstract_word_count,concept_count,keyword_count,recency_score,text_length_category,abstract_keyword_overlap,oa_category
9,0.3167,0.0845,120,22,16,0.3333,2,0,partially_open
8,0.1685,0.0506,178,16,14,0.6667,2,0,partially_open
12,0.1509,0.0854,159,14,10,0.6667,2,0,partially_open
13,0.0549,0.0383,401,13,9,0.3333,3,0,partially_open
12,0.133,0.0608,203,17,10,0.6667,2,1,partially_open
10,0.2821,0.0968,117,18,15,0.3333,2,1,partially_open
4,0.3069,0.0448,101,18,13,0.6667,2,1,partially_open
8,0.153,0.0433,183,15,13,0.3333,2,1,partially_open
7,0.4762,0.1082,84,23,17,0,2,1,partially_open
9,0.2303,0.0597,165,23,15,0.6667,2,1,partially_open
16,0.1171,0.0661,222,15,11,0.6667,3,1,fully_open
24,0.0989,0.0947,263,14,12,0.3333,3,0,partially_open
7,0.1771,0.0388,192,20,14,0,2,1,closed
9,0.1921,0.0691,151,15,14,0,2,1,partially_open
14,0.1529,0.0654,255,24,15,0,3,1,partially_open
14,0.2195,0.1891,82,9,9,0.3333,2,1,fully_open
6,0.1389,0.0255,252,20,15,0.3333,3,1,partially_open
7,0.0588,0.0413,136,4,4,0.3333,2,0,closed
10,0.0547,0.0341,329,11,7,0.3333,3,1,fully_open
13,0.5263,0.2353,57,23,7,0,1,1,partially_open
15,0.2316,0.1462,95,12,10,0.3333,2,1,fully_open
2,0.1241,0.0231,137,9,8,0.3333,2,0,fully_open
17,0.086,0.0728,279,13,11,0,3,1,partially_open
16,0.0964,0.1044,166,9,7,0.6667,2,1,partially_open
13,0.1683,0.0682,202,19,15,0,2,1,partially_open
7,0.188,0.0484,133,14,11,0,2,1,fully_open
8,0.2091,0.0729,110,12,11,0,2,1,fully_open
6,0.1508,0.0378,199,16,14,0.3333,2,1,partially_open
13,0.1229,0.0821,179,12,10,0.6667,2,1,fully_open
24,0.044,0.0652,386,9,8,0.3333,3,1,fully_open
10,0.1161,0.039,224,14,12,0.3333,3,1,partially_open
8,0.1849,0.0423,238,24,20,0,3,0,partially_open
11,0.1297,0.0709,185,12,12,0.3333,2,0,fully_open
6,0.2333,0.1164,60,8,6,0.3333,1,0,partially_open
15,0.213,0.0822,230,28,21,0.3333,3,1,partially_open
8,0.2462,0.07,130,16,16,0,2,1,partially_open
14,0.1361,0.0662,191,14,12,0.3333,2,1,fully_open
7,0.2053,0.0565,151,17,14,0.6667,2,0,partially_open
9,0.1046,0.0473,239,15,10,0.3333,3,1,partially_open
13,0.3235,0.132,102,18,15,0.6667,2,1,fully_open
9,0.1975,0.0717,157,19,12,0,2,1,partially_open
10,0.2409,0.0882,137,19,14,0,2,0,fully_open
12,0.119,0.048,252,17,13,0.3333,3,1,fully_open
4,0.3951,0.0741,81,17,15,0,2,1,partially_open
6,0.0929,0.0224,226,13,8,0.3333,3,1,closed
7,0.0974,0.045,195,12,7,0.3333,2,1,partially_open
20,0.1626,0.1053,203,20,13,0.3333,2,1,fully_open
18,0.18,0.0669,200,20,16,0.3333,2,1,fully_open
5,0.0765,0.036,183,7,7,0,2,0,partially_open
16,0.0252,0.0554,318,4,4,0.3333,3,1,partially_open
6,0.3559,0.0713,118,27,15,0,2,0,partially_open
8,0.0874,0.0535,183,8,8,0.6667,2,1,fully_open
6,0.1375,0.0299,269,21,16,0,3,1,partially_open
5,0.1264,0.0231,269,18,16,0,3,1,closed
11,0.0355,0.035,282,5,5,0.3333,3,1,fully_open
