column,dtype,n_missing,pct_missing
id,character,0,0
title,character,0,0
abstract,character,0,0
publication_year,numeric,0,0
cited_by_count,numeric,0,0
language,character,0,0
type,character,0,0
concepts,character,0,0
keywords,character,0,0
doi,character,2,0.1
open_access,character,0,0
concepts_clean,character,0,0
keywords_clean,character,0,0
is_open_access,logical,0,0
oa_status,character,0,0
oa_url,character,444,22.2
has_fulltext,logical,9,0.45
paper_age,numeric,0,0
title_length,numeric,0,0
abstract_length,numeric,0,0
keyword_count,numeric,0,0
concept_count,numeric,0,0
citation_per_year,numeric,0,0
citation_log,numeric,0,0
recent_paper,numeric,0,0
has_doi,numeric,0,0
oa_category,character,0,0
