model,split,n,accuracy,precision,recall,f1_macro,roc_auc
mlp,test,301,0.412,0.3792,0.3794,0.3783,0.5429
logistic_regression,test,301,0.4452,0.3875,0.3764,0.3345,0.5708
lda,test,301,0.4419,0.3565,0.3718,0.3257,0.5714
gradient_boosting,test,301,0.3721,0.3407,0.3312,0.3233,0.5299
decision_tree,test,301,0.3787,0.3257,0.3323,0.3194,0.5273
random_forest,test,301,0.3654,0.3306,0.3262,0.3187,0.504
xgboost,test,301,0.2924,0.2957,0.3015,0.2909,0.4999
elastic_net,test,301,0.4452,0.2937,0.3648,0.284,0.5582
svm_linear,test,301,0.4219,0.2885,0.3453,0.2661,0.54990000000000006
svm_rbf,test,301,0.4086,0.3418,0.3338,0.2439,0.5357
naive_bayes,test,301,0.392,0.259,0.319,0.2342,0.5396
