model,split,n,accuracy,precision,recall,f1_macro,roc_auc
lda,test,301,0.5748,0.57,0.5694,0.5696,0.7577
svm_rbf,test,301,0.5681,0.5597,0.559,0.5559,0.7574
mlp,test,301,0.5681,0.565,0.5675,0.5657,0.7659
logistic_regression,test,301,0.5648,0.5602,0.5668,0.5631,0.7565
elastic_net,test,301,0.5581,0.5559,0.5522,0.5539,0.7584
svm_linear,test,301,0.5515,0.5445,0.5438,0.5441,0.7587
random_forest,test,301,0.5482,0.5448,0.5296,0.5317,0.7572
gradient_boosting,test,301,0.5382,0.5415,0.5359,0.5384,0.7402
adaboost,test,301,0.515,0.5126,0.5121,0.5123,0.6963
decision_tree,test,301,0.5083,0.5295,0.4962,0.5017,0.6924
naive_bayes,test,301,0.4186,0.4742,0.4909,0.4081,0.684
xgboost,test,301,0.3455,0.3464,0.353,0.3428,0.5243
