title,publication_year,cited_by_count,citation_per_year,oa_category,keyword_count,concept_count,doi
Exploiting Generative AI to Scale up Intelligent Tutoring Systems,2023,77282,25760.6667,partially_open,16,22,https://doi.org/10.4230/lipics.itp.2023.19
Learning Multiple Layers of Features from Tiny Images,2024,25502,12751,partially_open,14,16,https://doi.org/10.57702/zp44cu3g
A Multi-Modal Distributed Real-Time IoT System for Urban Traffic Control (Invited Paper),2024,14351,7175.5,partially_open,10,14,https://doi.org/10.4230/oasics.ng-res.2024.2
"Aion Framework: Dimensional Emergence of AI Consciousness, Observer-Induced Collapse, and Cosmological Portal Dynamics",2023,14276,4758.6667,partially_open,9,13,https://doi.org/10.4230/lipics.giscience.2023.43
Targeted Branching for the Maximum Independent Set Problem Using Graph Neural Networks,2024,5408,2704,partially_open,10,17,https://doi.org/10.4230/lipics.sea.2024.20
Evolutionary-scale prediction of atomic-level protein structure with a language model,2023,5177,1725.6667,partially_open,15,18,https://doi.org/10.1126/science.ade2574
Kaldi Speech Recognition Toolkit,2024,4899,2449.5,partially_open,13,18,https://doi.org/10.57702/jb3fvbn9
3D Gaussian Splatting for Real-Time Radiance Field Rendering,2023,4734,1578,partially_open,13,15,https://doi.org/10.1145/3592433
Software update: The <scp>ORCA</scp> program system—Version 5.0,2022,4710,1177.5,partially_open,17,23,https://doi.org/10.1002/wcms.1606
Reading digits in natural images with unsupervised feature learning,2024,4565,2282.5,partially_open,15,23,https://doi.org/10.57702/e7wwo0zk
Interactive Tree of Life (iTOL) v6: recent updates to the phylogenetic tree display and annotation tool,2024,4122,2061,fully_open,11,15,https://doi.org/10.1093/nar/gkae268
"Opinion Paper: “So what if ChatGPT wrote it?” Multidisciplinary perspectives on opportunities, challenges and implications of generative conversational AI for research, practice and policy",2023,3906,1302,partially_open,12,14,https://doi.org/10.1016/j.ijinfomgt.2023.102642
Survey of Hallucination in Natural Language Generation,2022,3845,961.25,closed,14,20,https://doi.org/10.1145/3571730
Instant neural graphics primitives with a multiresolution hash encoding,2022,3784,946,partially_open,14,15,https://doi.org/10.1145/3528223.3530127
"Pre-train, Prompt, and Predict: A Systematic Survey of Prompting Methods in Natural Language Processing",2022,3692,923,partially_open,15,24,https://doi.org/10.1145/3560815
